% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 1 scans
% starting recording v>=2.00
% srt.cmd: line 5 : record g0.rad 0
%2017 128 05 43 53 157.0 14.9 0.0 0.0 0.1 -0.1 1419.84 0.00781250 4 148
%freq	signal
1419.84000	2.9
1419.84781	3.4
1419.85562	5.6
1419.86344	10.4
1419.87125	19.0
1419.87906	33.4
1419.88687	52.3
1419.89469	72.3
1419.90250	103.3
1419.91031	101.5
1419.91812	100.9
1419.92594	98.7
1419.93375	103.6
1419.94156	102.0
1419.94937	100.6
1419.95719	100.6
1419.96500	104.2
1419.97281	103.3
1419.98062	100.8
1419.98844	102.7
1419.99625	111.8
1420.00406	100.9
1420.01187	105.6
1420.01969	103.7
1420.02750	103.5
1420.03531	100.0
1420.04312	101.2
1420.05094	103.2
1420.05875	104.7
1420.06656	103.4
1420.07437	101.9
1420.08219	103.0
1420.09000	102.9
1420.09781	101.9
1420.10562	104.5
1420.11344	104.5
1420.12125	103.9
1420.12906	104.0
1420.13687	105.5
1420.14469	102.7
1420.15250	101.2
1420.16031	101.0
1420.16812	106.3
1420.17594	104.5
1420.18375	104.3
1420.19156	103.3
1420.19937	101.4
1420.20719	104.1
1420.21500	105.2
1420.22281	102.8
1420.23062	100.9
1420.23844	105.3
1420.24625	102.5
1420.25406	104.5
1420.26187	105.0
1420.26969	104.4
1420.27750	105.4
1420.28531	106.2
1420.29312	102.2
1420.30094	105.8
1420.30875	103.6
1420.31656	106.5
1420.32437	104.6
1420.33219	104.1
1420.34000	108.3
1420.34781	105.7
1420.35562	105.5
1420.36344	105.8
1420.37125	105.4
1420.37906	108.2
1420.38687	106.8
1420.39469	104.7
1420.40250	110.3
1420.41031	108.2
1420.41812	107.0
1420.42594	108.0
1420.43375	110.9
1420.44156	109.0
1420.44937	111.3
1420.45719	110.3
1420.46500	111.9
1420.47281	111.6
1420.48062	113.7
1420.48844	116.8
1420.49625	118.6
1420.50406	120.2
1420.51187	122.7
1420.51969	124.0
1420.52750	122.0
1420.53531	121.7
1420.54312	118.8
1420.55094	120.2
1420.55875	125.9
1420.56656	122.9
1420.57437	122.9
1420.58219	121.3
1420.59000	119.2
1420.59781	116.6
1420.60562	116.2
1420.61344	116.2
1420.62125	112.8
1420.62906	115.3
1420.63687	113.1
1420.64469	111.4
1420.65250	109.9
1420.66031	108.0
1420.66812	108.8
1420.67594	110.4
1420.68375	110.4
1420.69156	106.8
1420.69937	107.3
1420.70719	104.5
1420.71500	106.0
1420.72281	103.0
1420.73062	105.3
1420.73844	104.6
1420.74625	104.6
1420.75406	105.1
1420.76187	105.9
1420.76969	104.3
1420.77750	106.2
1420.78531	102.7
