% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 14 : record g105.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 06 39 33 42.0 38.2 0.0 0.0 105.8 -0.3 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.80
1419.848,4.30
1419.856,6.20
1419.863,10.70
1419.871,19.20
1419.879,32.30
1419.887,51.30
1419.895,68.60
1419.902,97.50
1419.910,96.10
1419.918,96.50
1419.926,97.20
1419.934,97.20
1419.942,96.90
1419.949,97.30
1419.957,97.10
1419.965,97.00
1419.973,97.10
1419.981,97.30
1419.988,97.50
1419.996,98.60
1420.004,97.50
1420.012,97.90
1420.020,97.80
1420.027,97.70
1420.035,97.70
1420.043,97.70
1420.051,98.00
1420.059,97.50
1420.067,97.80
1420.074,97.80
1420.082,97.50
1420.090,97.80
1420.098,97.90
1420.106,98.00
1420.113,97.90
1420.121,98.40
1420.129,98.10
1420.137,98.50
1420.145,97.80
1420.152,98.00
1420.160,97.80
1420.168,98.10
1420.176,98.50
1420.184,97.90
1420.192,98.30
1420.199,98.60
1420.207,98.00
1420.215,97.80
1420.223,98.30
1420.231,98.00
1420.238,98.00
1420.246,98.30
1420.254,98.30
1420.262,98.20
1420.270,98.00
1420.277,97.90
1420.285,98.10
1420.293,98.40
1420.301,98.30
1420.309,98.50
1420.317,98.50
1420.324,98.40
1420.332,98.40
1420.340,98.50
1420.348,98.70
1420.356,98.50
1420.363,98.50
1420.371,98.90
1420.379,98.70
1420.387,99.10
1420.395,98.90
1420.402,98.90
1420.410,99.10
1420.418,99.30
1420.426,99.40
1420.434,99.80
1420.442,99.50
1420.449,100.10
1420.457,100.50
1420.465,101.30
1420.473,102.00
1420.481,103.20
1420.488,104.70
1420.496,106.50
1420.504,109.20
1420.512,111.90
1420.520,113.40
1420.527,113.90
1420.535,113.70
1420.543,112.10
1420.551,111.50
1420.559,109.80
1420.567,109.00
1420.574,107.60
1420.582,106.10
1420.590,105.00
1420.598,104.60
1420.606,104.60
1420.613,104.70
1420.621,104.90
1420.629,105.20
1420.637,104.90
1420.645,104.70
1420.652,103.70
1420.660,103.50
1420.668,103.30
1420.676,103.60
1420.684,103.80
1420.692,103.70
1420.699,104.20
1420.707,104.80
1420.715,105.20
1420.723,104.60
1420.731,105.50
1420.738,106.00
1420.746,106.60
1420.754,107.10
1420.762,107.60
1420.770,107.90
1420.777,108.20
1420.785,108.20
1420.793,108.90
1420.801,108.80
1420.809,108.30
1420.817,108.40
1420.824,108.40
1420.832,108.00
1420.840,107.60
1420.848,106.60
1420.856,105.70
1420.863,104.60
1420.871,103.90
1420.879,102.90
1420.887,102.40
1420.895,101.70
1420.902,101.80
1420.910,100.70
1420.918,101.10
1420.926,100.90
1420.934,100.80
1420.942,68.10
1420.949,48.60
1420.957,30.40
1420.965,16.20
1420.973,7.00
1420.981,2.00
1420.988,-0.10
% Each line is the average of 50 scans
% srt.cmd: line 15 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 06 45 49 42.4 39.0 0.0 0.0 105.8 -0.3 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.50
1419.848,4.00
1419.856,5.90
1419.863,10.40
1419.871,18.90
1419.879,31.80
1419.887,50.90
1419.895,68.10
1419.902,96.70
1419.910,96.50
1419.918,96.40
1419.926,96.50
1419.934,96.60
1419.942,96.60
1419.949,96.30
1419.957,96.90
1419.965,97.00
1419.973,96.70
1419.981,96.60
1419.988,96.90
1419.996,98.80
1420.004,97.30
1420.012,97.70
1420.020,97.30
1420.027,97.30
1420.035,96.90
1420.043,97.10
1420.051,97.50
1420.059,97.50
1420.067,97.70
1420.074,97.30
1420.082,97.50
1420.090,97.40
1420.098,97.60
1420.106,97.30
1420.113,98.00
1420.121,97.30
1420.129,97.70
1420.137,97.50
1420.145,97.80
1420.152,97.50
1420.160,97.70
1420.168,97.60
1420.176,98.00
1420.184,97.60
1420.192,97.60
1420.199,97.70
1420.207,97.70
1420.215,97.80
1420.223,97.70
1420.231,97.60
1420.238,98.40
1420.246,98.00
1420.254,97.70
1420.262,97.80
1420.270,97.70
1420.277,98.10
1420.285,98.00
1420.293,98.30
1420.301,98.30
1420.309,98.30
1420.317,98.10
1420.324,98.00
1420.332,98.40
1420.340,98.50
1420.348,98.80
1420.356,98.20
1420.363,98.30
1420.371,98.90
1420.379,98.60
1420.387,98.70
1420.395,98.70
1420.402,98.80
1420.410,98.90
1420.418,99.10
1420.426,99.40
1420.434,98.90
1420.442,99.60
1420.449,100.00
1420.457,100.30
1420.465,101.00
1420.473,101.90
1420.481,103.40
1420.488,105.20
1420.496,107.20
1420.504,109.50
1420.512,111.70
1420.520,112.80
1420.527,114.00
1420.535,112.70
1420.543,112.60
1420.551,111.30
1420.559,110.40
1420.567,109.10
1420.574,107.40
1420.582,106.20
1420.590,105.30
1420.598,104.30
1420.606,104.30
1420.613,104.90
1420.621,105.20
1420.629,105.10
1420.637,104.70
1420.645,105.00
1420.652,104.10
1420.660,103.70
1420.668,103.40
1420.676,103.10
1420.684,103.50
1420.692,104.30
1420.699,104.20
1420.707,104.60
1420.715,104.80
1420.723,104.90
1420.731,105.70
1420.738,105.90
1420.746,107.00
1420.754,107.20
1420.762,107.90
1420.770,108.30
1420.777,108.50
1420.785,108.10
1420.793,109.00
1420.801,108.70
1420.809,108.70
1420.817,108.40
1420.824,108.80
1420.832,108.00
1420.840,107.50
1420.848,107.10
1420.856,105.80
1420.863,105.00
1420.871,103.90
1420.879,103.20
1420.887,102.40
1420.895,101.90
1420.902,101.60
1420.910,101.30
1420.918,101.10
1420.926,101.10
1420.934,101.20
1420.942,68.20
1420.949,48.70
1420.957,30.90
1420.965,16.50
1420.973,7.30
1420.981,2.30
1420.988,0.20
% stopping recording
% last line
