% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 1 scans
% starting recording v>=2.00
% srt.cmd: line 6 : record g130.rad 	
% average of 1 scans
%2017 129 00 03 34 326.6 26.3 0.0 0.0 140.1 0.2 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.80
1419.848,4.30
1419.856,6.20
1419.863,10.90
1419.871,19.60
1419.879,32.60
1419.887,52.30
1419.895,70.40
1419.902,96.60
1419.910,97.20
1419.918,96.50
1419.926,96.10
1419.934,99.60
1419.942,98.30
1419.949,100.00
1419.957,99.40
1419.965,100.00
1419.973,100.00
1419.981,96.30
1419.988,100.40
1419.996,101.00
1420.004,98.80
1420.012,100.90
1420.020,100.60
1420.027,99.00
1420.035,98.40
1420.043,97.60
1420.051,100.40
1420.059,102.30
1420.067,102.40
1420.074,100.40
1420.082,98.90
1420.090,100.10
1420.098,101.30
1420.106,96.10
1420.113,101.80
1420.121,100.40
1420.129,99.30
1420.137,99.80
1420.145,99.80
1420.152,99.60
1420.160,98.50
1420.168,102.20
1420.176,101.30
1420.184,102.00
1420.192,101.20
1420.199,102.50
1420.207,99.20
1420.215,97.50
1420.223,101.60
1420.231,101.70
1420.238,101.90
1420.246,104.60
1420.254,100.10
1420.262,98.80
1420.270,98.10
1420.277,100.30
1420.285,101.70
1420.293,99.50
1420.301,99.90
1420.309,102.90
1420.317,100.60
1420.324,98.20
1420.332,99.90
1420.340,101.10
1420.348,104.70
1420.356,103.10
1420.363,104.00
1420.371,104.30
1420.379,105.10
1420.387,106.90
1420.395,112.50
1420.402,112.50
1420.410,108.00
1420.418,111.70
1420.426,113.10
1420.434,111.00
1420.442,113.00
1420.449,111.50
1420.457,109.00
1420.465,112.30
1420.473,110.60
1420.481,109.00
1420.488,111.20
1420.496,109.10
1420.504,107.80
1420.512,110.00
1420.520,106.10
1420.527,104.90
1420.535,108.90
1420.543,110.60
1420.551,108.90
1420.559,113.50
1420.567,112.20
1420.574,113.40
1420.582,110.20
1420.590,113.30
1420.598,110.10
1420.606,108.70
1420.613,109.50
1420.621,109.80
1420.629,108.30
1420.637,111.60
1420.645,103.00
1420.652,104.10
1420.660,106.20
1420.668,105.60
1420.676,104.30
1420.684,105.10
1420.692,102.70
1420.699,101.00
1420.707,106.60
1420.715,100.90
1420.723,103.60
1420.731,105.10
1420.738,101.60
1420.746,99.90
1420.754,100.30
1420.762,103.30
1420.770,102.90
1420.777,100.00
1420.785,100.00
1420.793,103.80
1420.801,99.40
1420.809,100.10
1420.817,101.50
1420.824,100.30
1420.832,98.10
1420.840,99.90
1420.848,101.30
1420.856,99.00
1420.863,99.50
1420.871,101.20
1420.879,98.30
1420.887,98.60
1420.895,99.30
1420.902,101.40
1420.910,97.90
1420.918,99.80
1420.926,97.10
1420.934,101.50
1420.942,65.20
1420.949,47.40
1420.957,29.30
1420.965,13.90
1420.973,5.50
1420.981,0.60
1420.988,-1.60
% Each line is the average of 50 scans
% srt.cmd: line 7 : repeat 50
% average of 50 scans
% average of 1 scans
%2017 129 00 09 47 326.6 26.3 0.0 0.0 140.7 0.6 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.50
1419.848,4.00
1419.856,5.90
1419.863,10.50
1419.871,19.10
1419.879,32.40
1419.887,51.70
1419.895,69.20
1419.902,98.30
1419.910,98.40
1419.918,98.20
1419.926,98.00
1419.934,98.40
1419.942,98.60
1419.949,98.30
1419.957,98.70
1419.965,98.60
1419.973,98.80
1419.981,98.90
1419.988,98.80
1419.996,98.90
1420.004,98.90
1420.012,99.20
1420.020,98.80
1420.027,99.30
1420.035,99.10
1420.043,98.80
1420.051,99.00
1420.059,98.90
1420.067,99.00
1420.074,99.40
1420.082,99.60
1420.090,99.50
1420.098,99.50
1420.106,99.50
1420.113,99.80
1420.121,99.60
1420.129,100.20
1420.137,99.90
1420.145,99.40
1420.152,99.50
1420.160,99.50
1420.168,99.60
1420.176,99.90
1420.184,99.60
1420.192,99.90
1420.199,99.90
1420.207,99.90
1420.215,99.70
1420.223,99.80
1420.231,100.10
1420.238,99.80
1420.246,100.20
1420.254,99.80
1420.262,100.00
1420.270,100.10
1420.277,100.40
1420.285,100.50
1420.293,99.90
1420.301,100.40
1420.309,100.50
1420.317,101.00
1420.324,100.70
1420.332,100.80
1420.340,101.60
1420.348,101.80
1420.356,102.60
1420.363,104.00
1420.371,106.00
1420.379,107.60
1420.387,109.10
1420.395,110.50
1420.402,110.10
1420.410,110.90
1420.418,111.90
1420.426,112.50
1420.434,112.60
1420.442,112.80
1420.449,112.40
1420.457,112.00
1420.465,110.90
1420.473,110.00
1420.481,109.10
1420.488,108.70
1420.496,108.00
1420.504,108.10
1420.512,107.90
1420.520,108.30
1420.527,108.90
1420.535,109.50
1420.543,110.20
1420.551,111.70
1420.559,112.20
1420.567,112.80
1420.574,113.90
1420.582,114.40
1420.590,114.00
1420.598,114.10
1420.606,114.00
1420.613,113.30
1420.621,112.30
1420.629,111.40
1420.637,110.30
1420.645,109.20
1420.652,109.10
1420.660,108.70
1420.668,107.60
1420.676,106.40
1420.684,106.10
1420.692,105.90
1420.699,104.70
1420.707,104.90
1420.715,104.40
1420.723,104.60
1420.731,104.30
1420.738,104.30
1420.746,104.30
1420.754,104.10
1420.762,104.40
1420.770,104.30
1420.777,104.20
1420.785,103.80
1420.793,103.90
1420.801,103.40
1420.809,103.30
1420.817,102.90
1420.824,103.50
1420.832,103.00
1420.840,102.80
1420.848,102.50
1420.856,102.50
1420.863,102.20
1420.871,102.70
1420.879,102.20
1420.887,101.90
1420.895,101.50
1420.902,101.80
1420.910,101.80
1420.918,101.40
1420.926,102.00
1420.934,101.40
1420.942,69.10
1420.949,49.50
1420.957,31.20
1420.965,17.20
1420.973,8.00
1420.981,3.10
1420.988,1.10
% stopping recording
% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 34 : record g130.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 08 45 16 32.3 31.4 0.0 0.0 130.8 0.3 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.20
1419.856,6.10
1419.863,10.70
1419.871,19.20
1419.879,32.30
1419.887,51.40
1419.895,68.60
1419.902,97.60
1419.910,97.30
1419.918,96.80
1419.926,97.40
1419.934,97.10
1419.942,97.50
1419.949,97.20
1419.957,97.50
1419.965,98.20
1419.973,97.60
1419.981,97.70
1419.988,97.70
1419.996,98.60
1420.004,98.10
1420.012,98.50
1420.020,98.00
1420.027,97.90
1420.035,98.10
1420.043,97.80
1420.051,98.30
1420.059,98.10
1420.067,98.20
1420.074,98.10
1420.082,98.30
1420.090,98.10
1420.098,98.00
1420.106,98.20
1420.113,98.50
1420.121,98.50
1420.129,98.40
1420.137,98.90
1420.145,98.50
1420.152,98.10
1420.160,98.40
1420.168,98.50
1420.176,98.30
1420.184,98.50
1420.192,98.40
1420.199,98.50
1420.207,99.00
1420.215,98.60
1420.223,98.40
1420.231,98.40
1420.238,98.70
1420.246,98.60
1420.254,98.70
1420.262,98.50
1420.270,98.40
1420.277,98.70
1420.285,98.60
1420.293,99.00
1420.301,98.50
1420.309,98.70
1420.317,99.10
1420.324,99.10
1420.332,99.20
1420.340,99.40
1420.348,99.00
1420.356,99.00
1420.363,99.90
1420.371,99.30
1420.379,100.30
1420.387,99.90
1420.395,100.60
1420.402,101.30
1420.410,102.60
1420.418,104.50
1420.426,106.20
1420.434,107.70
1420.442,108.30
1420.449,110.00
1420.457,109.40
1420.465,110.20
1420.473,110.10
1420.481,110.60
1420.488,110.90
1420.496,110.60
1420.504,110.30
1420.512,109.20
1420.520,108.10
1420.527,107.30
1420.535,105.80
1420.543,105.30
1420.551,104.70
1420.559,104.60
1420.567,104.10
1420.574,104.40
1420.582,105.20
1420.590,105.30
1420.598,105.50
1420.606,106.30
1420.613,106.70
1420.621,108.00
1420.629,108.40
1420.637,108.90
1420.645,109.20
1420.652,109.90
1420.660,110.20
1420.668,110.00
1420.676,110.30
1420.684,110.70
1420.692,110.70
1420.699,111.50
1420.707,111.20
1420.715,111.70
1420.723,111.40
1420.731,110.50
1420.738,110.50
1420.746,109.90
1420.754,108.90
1420.762,107.40
1420.770,107.30
1420.777,106.40
1420.785,105.40
1420.793,105.80
1420.801,105.10
1420.809,104.50
1420.817,104.60
1420.824,104.80
1420.832,104.40
1420.840,104.80
1420.848,104.50
1420.856,104.30
1420.863,104.30
1420.871,104.20
1420.879,103.70
1420.887,103.70
1420.895,103.50
1420.902,103.20
1420.910,103.30
1420.918,103.30
1420.926,103.10
1420.934,102.80
1420.942,69.80
1420.949,50.10
1420.957,31.90
1420.965,17.60
1420.973,8.50
1420.981,3.60
1420.988,1.50
% Each line is the average of 50 scans
% srt.cmd: line 35 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 08 51 31 32.9 32.1 0.0 0.0 130.8 0.2 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.20
1419.856,6.20
1419.863,10.70
1419.871,19.10
1419.879,32.30
1419.887,51.40
1419.895,68.80
1419.902,97.70
1419.910,97.10
1419.918,97.60
1419.926,97.30
1419.934,97.40
1419.942,97.20
1419.949,97.40
1419.957,97.10
1419.965,97.40
1419.973,98.00
1419.981,97.90
1419.988,97.70
1419.996,98.60
1420.004,97.90
1420.012,98.30
1420.020,98.30
1420.027,98.10
1420.035,97.60
1420.043,98.20
1420.051,98.20
1420.059,97.80
1420.067,97.90
1420.074,98.00
1420.082,97.50
1420.090,98.40
1420.098,98.70
1420.106,98.10
1420.113,98.50
1420.121,98.50
1420.129,98.30
1420.137,98.80
1420.145,98.30
1420.152,98.30
1420.160,98.50
1420.168,98.20
1420.176,98.50
1420.184,98.70
1420.192,97.90
1420.199,98.70
1420.207,98.00
1420.215,98.80
1420.223,98.70
1420.231,98.70
1420.238,98.60
1420.246,98.30
1420.254,98.20
1420.262,98.60
1420.270,98.70
1420.277,98.50
1420.285,98.80
1420.293,98.80
1420.301,98.40
1420.309,98.60
1420.317,98.50
1420.324,99.00
1420.332,98.70
1420.340,99.10
1420.348,99.20
1420.356,99.10
1420.363,99.50
1420.371,99.60
1420.379,99.50
1420.387,100.10
1420.395,100.80
1420.402,101.50
1420.410,102.60
1420.418,104.30
1420.426,106.40
1420.434,108.00
1420.442,108.60
1420.449,109.30
1420.457,109.80
1420.465,110.10
1420.473,110.30
1420.481,110.40
1420.488,110.20
1420.496,110.60
1420.504,109.90
1420.512,109.20
1420.520,107.90
1420.527,106.50
1420.535,105.20
1420.543,105.00
1420.551,104.60
1420.559,104.80
1420.567,104.30
1420.574,104.50
1420.582,104.80
1420.590,104.90
1420.598,105.10
1420.606,106.00
1420.613,106.60
1420.621,107.10
1420.629,107.80
1420.637,108.30
1420.645,109.20
1420.652,109.60
1420.660,109.70
1420.668,110.10
1420.676,110.10
1420.684,110.60
1420.692,110.90
1420.699,110.70
1420.707,111.10
1420.715,111.30
1420.723,110.60
1420.731,110.30
1420.738,109.90
1420.746,108.70
1420.754,108.30
1420.762,107.70
1420.770,106.60
1420.777,105.80
1420.785,105.50
1420.793,105.70
1420.801,104.60
1420.809,104.40
1420.817,104.20
1420.824,104.60
1420.832,104.10
1420.840,104.30
1420.848,104.40
1420.856,104.00
1420.863,103.50
1420.871,103.30
1420.879,103.80
1420.887,103.30
1420.895,103.60
1420.902,102.80
1420.910,103.00
1420.918,102.70
1420.926,102.50
1420.934,102.70
1420.942,69.50
1420.949,49.80
1420.957,31.50
1420.965,17.40
1420.973,8.20
1420.981,3.30
1420.988,1.30
% stopping recording
% last line
