% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 22 : record g160.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 14 58 55 67.1 52.8 0.0 0.0 160.7 0.9 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.90
1419.848,4.50
1419.856,6.60
1419.863,11.50
1419.871,20.80
1419.879,35.20
1419.887,55.70
1419.895,75.10
1419.902,106.60
1419.910,106.50
1419.918,106.40
1419.926,105.90
1419.934,106.40
1419.942,106.20
1419.949,106.40
1419.957,106.40
1419.965,106.80
1419.973,106.90
1419.981,106.70
1419.988,107.80
1419.996,109.20
1420.004,107.20
1420.012,108.70
1420.020,107.00
1420.027,107.20
1420.035,107.10
1420.043,107.10
1420.051,107.60
1420.059,107.30
1420.067,107.20
1420.074,107.20
1420.082,107.20
1420.090,107.60
1420.098,107.60
1420.106,107.20
1420.113,107.30
1420.121,107.40
1420.129,107.40
1420.137,107.40
1420.145,107.70
1420.152,107.40
1420.160,107.60
1420.168,107.80
1420.176,107.70
1420.184,107.40
1420.192,107.90
1420.199,107.70
1420.207,108.00
1420.215,107.90
1420.223,108.00
1420.231,107.90
1420.238,108.50
1420.246,108.80
1420.254,108.10
1420.262,108.20
1420.270,108.50
1420.277,108.70
1420.285,109.10
1420.293,109.70
1420.301,110.90
1420.309,112.60
1420.317,114.00
1420.324,115.40
1420.332,116.60
1420.340,118.00
1420.348,118.30
1420.356,119.30
1420.363,119.90
1420.371,119.90
1420.379,120.30
1420.387,120.00
1420.395,120.20
1420.402,120.60
1420.410,120.70
1420.418,120.70
1420.426,121.30
1420.434,121.50
1420.442,121.20
1420.449,122.40
1420.457,121.80
1420.465,121.70
1420.473,121.50
1420.481,121.60
1420.488,121.70
1420.496,121.00
1420.504,119.60
1420.512,119.50
1420.520,118.00
1420.527,117.50
1420.535,115.90
1420.543,116.10
1420.551,115.20
1420.559,114.40
1420.567,114.30
1420.574,113.70
1420.582,112.70
1420.590,112.40
1420.598,112.10
1420.606,111.60
1420.613,111.20
1420.621,110.80
1420.629,110.60
1420.637,111.00
1420.645,110.40
1420.652,110.30
1420.660,110.10
1420.668,110.30
1420.676,109.60
1420.684,110.10
1420.692,109.60
1420.699,109.70
1420.707,109.90
1420.715,109.20
1420.723,109.20
1420.731,109.30
1420.738,109.30
1420.746,109.30
1420.754,110.00
1420.762,109.40
1420.770,109.30
1420.777,109.70
1420.785,109.30
1420.793,109.50
1420.801,109.30
1420.809,108.70
1420.817,109.00
1420.824,108.80
1420.832,109.10
1420.840,109.00
1420.848,109.30
1420.856,109.90
1420.863,108.90
1420.871,109.40
1420.879,108.90
1420.887,109.20
1420.895,108.70
1420.902,109.70
1420.910,109.30
1420.918,109.10
1420.926,109.50
1420.934,109.30
1420.942,74.20
1420.949,53.30
1420.957,33.90
1420.965,18.70
1420.973,8.70
1420.981,3.50
1420.988,1.20
% Each line is the average of 50 scans
% srt.cmd: line 23 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 15 05 13 67.5 53.9 0.0 0.0 160.7 1.0 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.20
1419.856,6.30
1419.863,11.30
1419.871,20.70
1419.879,35.10
1419.887,56.00
1419.895,74.60
1419.902,105.90
1419.910,105.80
1419.918,106.30
1419.926,106.80
1419.934,106.00
1419.942,106.30
1419.949,106.70
1419.957,106.40
1419.965,106.50
1419.973,106.50
1419.981,107.40
1419.988,107.70
1419.996,109.70
1420.004,107.30
1420.012,109.30
1420.020,107.10
1420.027,106.80
1420.035,106.90
1420.043,107.30
1420.051,106.80
1420.059,107.20
1420.067,107.60
1420.074,107.40
1420.082,107.30
1420.090,107.80
1420.098,107.00
1420.106,107.90
1420.113,107.20
1420.121,107.70
1420.129,107.70
1420.137,107.60
1420.145,107.60
1420.152,107.60
1420.160,107.40
1420.168,107.80
1420.176,107.70
1420.184,107.80
1420.192,107.70
1420.199,108.30
1420.207,107.60
1420.215,108.10
1420.223,107.90
1420.231,108.10
1420.238,108.40
1420.246,108.00
1420.254,108.70
1420.262,108.60
1420.270,109.40
1420.277,109.80
1420.285,109.50
1420.293,110.30
1420.301,111.20
1420.309,112.90
1420.317,114.10
1420.324,115.90
1420.332,117.40
1420.340,118.10
1420.348,119.00
1420.356,119.80
1420.363,120.80
1420.371,120.20
1420.379,120.10
1420.387,120.50
1420.395,120.70
1420.402,120.70
1420.410,121.10
1420.418,121.40
1420.426,122.10
1420.434,121.80
1420.442,122.10
1420.449,121.80
1420.457,122.30
1420.465,122.20
1420.473,122.50
1420.481,122.50
1420.488,121.50
1420.496,121.50
1420.504,121.10
1420.512,119.90
1420.520,118.80
1420.527,117.90
1420.535,117.00
1420.543,116.00
1420.551,115.10
1420.559,115.00
1420.567,114.20
1420.574,113.70
1420.582,113.40
1420.590,112.80
1420.598,111.80
1420.606,111.40
1420.613,111.10
1420.621,110.20
1420.629,110.30
1420.637,110.60
1420.645,110.60
1420.652,110.00
1420.660,109.60
1420.668,109.90
1420.676,109.50
1420.684,109.30
1420.692,108.90
1420.699,109.40
1420.707,108.90
1420.715,109.00
1420.723,109.20
1420.731,109.00
1420.738,108.70
1420.746,109.10
1420.754,109.10
1420.762,108.70
1420.770,109.30
1420.777,109.20
1420.785,109.00
1420.793,109.10
1420.801,108.90
1420.809,108.50
1420.817,109.10
1420.824,108.90
1420.832,109.10
1420.840,108.70
1420.848,109.00
1420.856,109.00
1420.863,109.60
1420.871,108.80
1420.879,109.10
1420.887,109.00
1420.895,109.00
1420.902,108.60
1420.910,109.10
1420.918,109.20
1420.926,108.80
1420.934,109.00
1420.942,73.60
1420.949,53.00
1420.957,33.40
1420.965,18.10
1420.973,8.20
1420.981,2.90
1420.988,0.60
% stopping recording
% last line
