% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 29 : record g35.rad 0
% average of 50 scans
%2017 128 08 47 45 182.6 49.5 0.0 0.0 35.8 -1.5 1419.84 0.00781250 4 148
%freq	signal
1419.84000	4.2
1419.84781	4.7
1419.85562	6.7
1419.86344	11.5
1419.87125	20.5
1419.87906	34.2
1419.88687	54.4
1419.89469	72.7
1419.90250	102.6
1419.91031	102.2
1419.91812	102.8
1419.92594	102.4
1419.93375	102.1
1419.94156	103.1
1419.94937	102.8
1419.95719	102.7
1419.96500	102.2
1419.97281	103.2
1419.98062	103.1
1419.98844	103.5
1419.99625	105.0
1420.00406	103.8
1420.01187	116.2
1420.01969	103.9
1420.02750	103.3
1420.03531	103.1
1420.04312	103.9
1420.05094	103.2
1420.05875	103.6
1420.06656	104.1
1420.07437	104.2
1420.08219	104.5
1420.09000	104.5
1420.09781	105.0
1420.10562	104.9
1420.11344	105.4
1420.12125	105.6
1420.12906	105.6
1420.13687	106.6
1420.14469	106.3
1420.15250	106.8
1420.16031	107.0
1420.16812	107.4
1420.17594	107.9
1420.18375	108.4
1420.19156	108.5
1420.19937	108.7
1420.20719	109.5
1420.21500	109.6
1420.22281	109.6
1420.23062	109.7
1420.23844	110.2
1420.24625	110.1
1420.25406	110.1
1420.26187	110.3
1420.26969	110.2
1420.27750	110.1
1420.28531	109.6
1420.29312	110.1
1420.30094	110.7
1420.30875	111.3
1420.31656	111.3
1420.32437	112.3
1420.33219	112.8
1420.34000	113.0
1420.34781	113.2
1420.35562	113.5
1420.36344	113.8
1420.37125	114.1
1420.37906	114.1
1420.38687	114.2
1420.39469	114.3
1420.40250	114.7
1420.41031	114.5
1420.41812	115.0
1420.42594	115.5
1420.43375	116.1
1420.44156	116.0
1420.44937	116.2
1420.45719	116.4
1420.46500	116.6
1420.47281	116.5
1420.48062	116.6
1420.48844	116.2
1420.49625	116.6
1420.50406	115.4
1420.51187	115.6
1420.51969	115.7
1420.52750	115.6
1420.53531	116.2
1420.54312	117.1
1420.55094	118.2
1420.55875	118.1
1420.56656	118.6
1420.57437	118.2
1420.58219	117.6
1420.59000	117.8
1420.59781	117.0
1420.60562	116.1
1420.61344	114.0
1420.62125	112.4
1420.62906	110.6
1420.63687	108.7
1420.64469	107.5
1420.65250	107.3
1420.66031	106.2
1420.66812	106.4
1420.67594	106.5
1420.68375	106.9
1420.69156	106.7
1420.69937	106.9
1420.70719	107.1
1420.71500	107.6
1420.72281	107.6
1420.73062	107.5
1420.73844	107.3
1420.74625	108.1
1420.75406	108.5
1420.76187	108.9
1420.76969	108.4
1420.77750	108.6
1420.78531	108.7
1420.79312	109.2
1420.80094	108.2
1420.80875	108.5
1420.81656	108.3
1420.82437	108.1
1420.83219	108.4
1420.84000	108.2
1420.84781	108.0
1420.85562	108.0
1420.86344	108.1
1420.87125	107.8
1420.87906	107.3
1420.88687	107.3
1420.89469	106.7
1420.90250	106.7
1420.91031	105.9
1420.91812	106.1
1420.92594	105.1
1420.93375	105.0
1420.94156	71.0
1420.94937	50.9
1420.95719	32.0
1420.96500	17.4
1420.97281	7.9
1420.98062	2.8
1420.98844	0.7
% Each line is the average of 50 scans
% srt.cmd: line 30 : repeat 50
% average of 50 scans
%2017 128 08 54 02 184.9 49.4 0.0 0.0 35.8 -1.5 1419.84 0.00781250 4 148
%freq	signal
1419.84000	4.3
1419.84781	4.8
1419.85562	6.8
1419.86344	11.6
1419.87125	20.6
1419.87906	34.4
1419.88687	54.5
1419.89469	72.9
1419.90250	103.1
1419.91031	102.5
1419.91812	102.6
1419.92594	102.7
1419.93375	102.9
1419.94156	102.5
1419.94937	102.7
1419.95719	103.1
1419.96500	103.3
1419.97281	103.8
1419.98062	103.2
1419.98844	103.6
1419.99625	104.7
1420.00406	104.2
1420.01187	114.6
1420.01969	103.4
1420.02750	103.5
1420.03531	103.7
1420.04312	103.9
