% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 1 scans
% starting recording v>=2.00
% srt.cmd: line 1 : record sun_info_14 /Start recording, output filename is optional
%2017 124 18 22 42 2.0 -1.0 0.0 0.0 73.0 45.3 1419.75 0.00781250 1 64
%freq	signal
1419.75000	180.0
1419.75781	222.0
1419.76562	394.0
1419.77344	796.0
1419.78125	1509.0
1419.78906	2665.0
1419.79688	4193.0
1419.80469	5770.0
1419.81250	8092.5
1419.82031	8245.4
1419.82812	8144.9
1419.83594	8462.8
1419.84375	8276.4
1419.85156	8469.9
1419.85938	8534.8
1419.86719	8281.2
1419.87500	8454.9
1419.88281	8216.0
1419.89062	8297.6
1419.89844	8542.7
1419.90625	8424.2
1419.91406	8209.3
1419.92188	8459.2
1419.92969	8141.3
1419.93750	8276.8
1419.94531	8396.3
1419.95312	8258.8
1419.96094	8272.8
1419.96875	8340.8
1419.97656	8497.1
1419.98438	8362.5
1419.99219	8669.6
1420.00000	9738.0
1420.00781	8322.8
1420.01562	8378.2
1420.02344	8644.2
1420.03125	8767.0
1420.03906	8556.9
1420.04688	8637.3
1420.05469	8750.9
1420.06250	8462.0
1420.07031	8350.4
1420.07812	8472.5
1420.08594	8584.5
1420.09375	8331.2
1420.10156	8728.5
1420.10938	8364.0
1420.11719	8398.9
1420.12500	8602.1
1420.13281	8470.9
1420.14062	8570.8
1420.14844	8305.7
1420.15625	8473.0
1420.16406	8399.8
1420.17188	8195.6
1420.17969	8472.5
1420.18750	8383.7
1420.19531	5758.0
1420.20312	4218.0
1420.21094	2616.0
1420.21875	1538.0
1420.22656	804.0
1420.23438	395.0
1420.24219	222.0
% srt.cmd: line 2 : azel 200 45 /calibration position
%2017 124 18 25 58 200.0 44.8 0.0 0.0 186.6 -42.5 1419.75 0.00781250 1 64
%freq	signal
1419.75000	116.0
1419.75781	146.0
1419.76562	251.0
1419.77344	512.0
1419.78125	1018.0
1419.78906	1775.0
1419.79688	2792.0
1419.80469	3865.0
1419.81250	5708.1
1419.82031	5529.6
1419.82812	5537.5
1419.83594	5561.5
1419.84375	5517.9
1419.85156	5569.2
1419.85938	5467.8
1419.86719	5539.3
1419.87500	5766.7
1419.88281	5590.7
1419.89062	5506.0
1419.89844	5484.0
1419.90625	5489.1
1419.91406	5646.7
1419.92188	5401.2
1419.92969	5703.2
1419.93750	5560.4
1419.94531	5526.9
1419.95312	5537.8
1419.96094	5684.3
1419.96875	5672.1
1419.97656	5672.4
1419.98438	5611.6
1419.99219	5750.9
1420.00000	5781.0
1420.00781	5628.7
1420.01562	5714.3
1420.02344	5427.2
1420.03125	5473.3
1420.03906	5614.7
1420.04688	5682.1
1420.05469	5560.6
1420.06250	5621.1
1420.07031	5677.6
1420.07812	5571.0
1420.08594	5594.2
1420.09375	5612.9
1420.10156	5613.0
1420.10938	5601.7
1420.11719	5500.7
1420.12500	5692.0
1420.13281	5580.3
1420.14062	5503.8
1420.14844	5645.2
1420.15625	5713.5
1420.16406	5688.3
1420.17188	5569.7
1420.17969	5621.5
1420.18750	5623.6
1420.19531	3816.0
1420.20312	2769.0
1420.21094	1809.0
1420.21875	1030.0
1420.22656	527.0
1420.23438	263.0
1420.24219	146.0
% srt.cmd: line 3 : freq 1419 4 /scan frequency, 5 bins (samples), no frequency step
%2017 124 18 26 07 200.0 45.1 0.0 0.0 186.5 -42.3 1418.44 0.00781250 4 148
%freq	signal
1418.44000	321.2
1418.44781	347.2
1418.45563	444.2
1418.46344	666.2
1418.47125	1115.2
1418.47906	1762.2
1418.48688	2743.2
1418.49469	3586.2
1418.50250	4988.0
1418.51031	4964.3
1418.51813	4893.1
1418.52594	5119.5
1418.53375	5008.0
1418.54156	4983.7
1418.54938	4931.3
1418.55719	4976.4
1418.56500	5018.8
1418.57281	4929.9
1418.58063	5132.3
1418.58844	4982.7
1418.59625	5140.8
1418.60406	5058.0
1418.61188	5098.7
1418.61969	5238.8
1418.62750	4910.9
1418.63531	5134.0
1418.64313	5060.1
1418.65094	5136.9
1418.65875	5194.0
1418.66656	5175.3
1418.67438	5079.4
1418.68219	5005.1
1418.69000	4951.2
1418.69781	5112.5
1418.70563	5132.2
1418.71344	5174.3
1418.72125	4998.9
1418.72906	5156.9
1418.73688	5038.8
1418.74469	5172.6
1418.75250	5093.1
1418.76031	5049.2
1418.76813	5102.8
1418.77594	5143.7
1418.78375	5190.3
1418.79156	5068.8
1418.79938	5166.4
1418.80719	5245.3
1418.81500	5102.5
1418.82281	5176.2
1418.83063	5189.3
1418.83844	5058.7
1418.84625	5191.7
1418.85406	5062.4
1418.86188	5145.4
1418.86969	5027.0
1418.87750	5131.6
1418.88531	5014.5
1418.89313	4957.0
1418.90094	4932.2
1418.90875	4976.6
1418.91656	4835.9
1418.92438	4910.8
1418.93219	4958.9
1418.94000	5140.4
1418.94781	4921.3
1418.95563	5070.3
1418.96344	4914.8
1418.97125	4957.1
1418.97906	5146.5
1418.98688	5109.9
1418.99469	5306.1
1419.00250	5057.8
1419.01031	5111.9
1419.01813	5207.0
1419.02594	5145.7
1419.03375	5067.6
1419.04156	4979.2
1419.04938	5102.3
1419.05719	4961.6
1419.06500	5193.2
1419.07281	4962.3
1419.08063	5063.2
1419.08844	5139.5
1419.09625	5043.2
1419.10406	5057.7
1419.11188	5036.5
1419.11969	4953.2
1419.12750	5139.7
1419.13531	4996.4
1419.14313	5169.7
1419.15094	5154.9
1419.15875	5007.2
1419.16656	4924.6
1419.17438	5073.3
1419.18219	4993.2
1419.19000	5072.1
1419.19781	4949.7
1419.20563	5120.1
1419.21344	5176.8
1419.22125	4972.0
1419.22906	5142.6
1419.23688	5019.5
1419.24469	4995.3
1419.25250	5113.9
1419.26031	5110.1
1419.26813	4987.0
1419.27594	5094.8
1419.28375	5049.6
1419.29156	5107.1
1419.29938	4914.9
1419.30719	4917.7
1419.31500	5003.0
1419.32281	4853.6
1419.33063	5032.6
1419.33844	5224.9
1419.34625	5075.6
1419.35406	5131.4
1419.36188	5072.7
1419.36969	5030.5
1419.37750	5053.4
1419.38531	5177.1
1419.39313	5004.9
1419.40094	5081.3
